# ell D_l^TT D_l^EE D_l^BB D_l^TE C_l^kk
1.500000000000000000e+01 7.793544651275931301e+02 5.383759441364302858e-03 6.283019585094913964e-05 1.042967085673623950e+00 1.837549624957569634e-07
1.600000000000000000e+01 7.873375947395078356e+02 5.113410558270635106e-03 7.125973941564335470e-05 1.106741996924319071e+00 1.871111433762321064e-07
1.700000000000000000e+01 7.968152312691551060e+02 5.350622636054478375e-03 8.022839604121930141e-05 1.179778706376513941e+00 1.901148462675020335e-07
1.800000000000000000e+01 8.067457018912314197e+02 5.927601183059553851e-03 8.973797671677241378e-05 1.249418273991298678e+00 1.927962837706141862e-07
1.900000000000000000e+01 8.182407646472917122e+02 6.566132556667261463e-03 9.979028715228477060e-05 1.311169948710409372e+00 1.951869397379360067e-07
2.000000000000000000e+01 8.298874648322882877e+02 7.074140230160917697e-03 1.103871132315960410e-04 1.360691495309500620e+00 1.973191716271461123e-07
2.100000000000000000e+01 8.418476691889416088e+02 7.446535737477322919e-03 1.215302063365617658e-04 1.400057157295111043e+00 1.992222912588223575e-07
2.200000000000000000e+01 8.541964932183424253e+02 7.820846360572925038e-03 1.332212694110434322e-04 1.431017391856428400e+00 2.009103972882703271e-07
2.300000000000000000e+01 8.667274678794761940e+02 8.371218481563169264e-03 1.454619432052752176e-04 1.457283763687394540e+00 2.023947345631722961e-07
2.400000000000000000e+01 8.795311494027976096e+02 9.215363490439529986e-03 1.582537933701743164e-04 1.482939129592578009e+00 2.036870011025044264e-07
2.500000000000000000e+01 8.926238381573159586e+02 1.037891475810028864e-02 1.715982986389608296e-04 1.511175284094809612e+00 2.047993731407742912e-07
2.600000000000000000e+01 9.058733225106869895e+02 1.181918961055316609e-02 1.854968392031118422e-04 1.545555317512774751e+00 2.057444730254350109e-07
2.700000000000000000e+01 9.194444164314123782e+02 1.347642611585281834e-02 1.999506864800036014e-04 1.584815680248836900e+00 2.065351524691288124e-07
2.800000000000000000e+01 9.331306533323056556e+02 1.532204962200648356e-02 2.149609937877635768e-04 1.627618584527692258e+00 2.071846240143927818e-07
2.900000000000000000e+01 9.470968486544729785e+02 1.735495992040302776e-02 2.305287886075912018e-04 1.672032212326906020e+00 2.077062237011502714e-07
3.000000000000000000e+01 9.613593061911288942e+02 1.958890766105541789e-02 2.466549653645919897e-04 1.714416873240836248e+00 2.081135175894851961e-07
3.100000000000000000e+01 9.757084015575161402e+02 2.202873882828167845e-02 2.633402797791500253e-04 1.751328514904966438e+00 2.084186262626514454e-07
3.200000000000000000e+01 9.902931512132832950e+02 2.465630552374952628e-02 2.805853450238887160e-04 1.779734288608250559e+00 2.086276269389460015e-07
3.300000000000000000e+01 1.005185156032165537e+03 2.743935720721340371e-02 2.983906287497032836e-04 1.796499961506650367e+00 2.087451279266382599e-07
3.400000000000000000e+01 1.020307505423453904e+03 3.035975155789187238e-02 3.167564514610523674e-04 1.799753684011698551e+00 2.087760022767808237e-07
3.500000000000000000e+01 1.035657546098217153e+03 3.342013752204256449e-02 3.356829863421359125e-04 1.789851322213569684e+00 2.087251059696210826e-07
3.600000000000000000e+01 1.051158369573360460e+03 3.664172761234872622e-02 3.551702605582719285e-04 1.767000258948843605e+00 2.085974842917818139e-07
3.700000000000000000e+01 1.066733068413552019e+03 4.006652558374710488e-02 3.752181584929301767e-04 1.732447494758816431e+00 2.083982940949355773e-07
3.800000000000000000e+01 1.082601761211149096e+03 4.373727723745748225e-02 3.958264252289828318e-04 1.689370723734966440e+00 2.081327464941597428e-07
3.900000000000000000e+01 1.098761798804374621e+03 4.765068897596538844e-02 4.169946725713030255e-04 1.638794240498859800e+00 2.078061416549132322e-07
4.000000000000000000e+01 1.114987764234075939e+03 5.179752617412276827e-02 4.387223849729377022e-04 1.580999809564532566e+00 2.074237606449198164e-07
4.100000000000000000e+01 1.131425515271877430e+03 5.617689765107847233e-02 4.610089287249811985e-04 1.515991150805342080e+00 2.069905704162757504e-07
4.200000000000000000e+01 1.147849599602612216e+03 6.080123841126892914e-02 4.838535592310300995e-04 1.443476525998002469e+00 2.065095720155350311e-07
4.300000000000000000e+01 1.164405839502812569e+03 6.568612896890188568e-02 5.072554323857005618e-04 1.363108921657712802e+00 2.059832886049238372e-07
4.400000000000000000e+01 1.180943032924816862e+03 7.083229806431157183e-02 5.312136161435325682e-04 1.275432432951362660e+00 2.054143090525583925e-07
4.500000000000000000e+01 1.197829772154936109e+03 7.625086979800939357e-02 5.557271008211082984e-04 1.181065444966918676e+00 2.048053610825660180e-07
4.600000000000000000e+01 1.214989112464179470e+03 8.194925495141971994e-02 5.807948134934399652e-04 1.078250176367776536e+00 2.041589865789655458e-07
4.700000000000000000e+01 1.232269853252456869e+03 8.790664643834543435e-02 6.064156298393027968e-04 9.656001604345997302e-01 2.034780348561636265e-07
4.800000000000000000e+01 1.249595050437246073e+03 9.410223669318730499e-02 6.325883897962356625e-04 8.444764447477953739e-01 2.027652438919324276e-07
4.900000000000000000e+01 1.267036272587739631e+03 1.004929408147908210e-01 6.593119105240988166e-04 7.156460595141939107e-01 2.020233132241166120e-07
5.000000000000000000e+01 1.284813600805536680e+03 1.070282478361804096e-01 6.865850012779734684e-04 5.730964714169705099e-01 2.012550909897753830e-07
5.100000000000000000e+01 1.302702773553651923e+03 1.136647803958193148e-01 7.144064796458431208e-04 4.103939929925308205e-01 2.004631751436116959e-07
5.200000000000000000e+01 1.320929846385613700e+03 1.205139324656264721e-01 7.427751840046833325e-04 2.250488487884144406e-01 1.996488597480754988e-07
5.300000000000000000e+01 1.339128019470339950e+03 1.277610623012915558e-01 7.716899895448383132e-04 1.740698681288298244e-02 1.988134715289512533e-07
5.400000000000000000e+01 1.357227517519332423e+03 1.354355896969095807e-01 8.011498226154961438e-04 -2.042208904741225906e-01 1.979581030962271859e-07
5.500000000000000000e+01 1.375455589666615879e+03 1.435520828920857639e-01 8.311536748238213370e-04 -4.314082127474923589e-01 1.970839351655580114e-07
5.600000000000000000e+01 1.394039484351822011e+03 1.519914486063264347e-01 8.617006166526731178e-04 -6.628673784746234032e-01 1.961923034291735434e-07
5.700000000000000000e+01 1.412909424207460461e+03 1.606197420758113392e-01 8.927898103250668732e-04 -8.995711203885708995e-01 1.952843588737004480e-07
5.800000000000000000e+01 1.432069887201389292e+03 1.694069770919380546e-01 9.244205223477575117e-04 -1.144289147645994875e+00 1.943613631176018649e-07
5.900000000000000000e+01 1.451376837785444195e+03 1.783528697920356565e-01 9.565921351640513165e-04 -1.399813422664210938e+00 1.934246421269583257e-07
6.000000000000000000e+01 1.470834751801127140e+03 1.874719874532441988e-01 9.893041567485526006e-04 -1.667502739881764784e+00 1.924754077037394062e-07
6.100000000000000000e+01 1.490743665509088260e+03 1.968316412614862509e-01 1.022556233082484506e-03 -1.948169485479081864e+00 1.915149392222035775e-07
6.200000000000000000e+01 1.510506685359060839e+03 2.064427957927005008e-01 1.056348153213160614e-03 -2.242816677095963218e+00 1.905442125498708039e-07
6.300000000000000000e+01 1.530342271823775036e+03 2.163023290028439072e-01 1.090679858988068606e-03 -2.552123695579444629e+00 1.895641823092326851e-07
6.400000000000000000e+01 1.550543140224616081e+03 2.264590983014807268e-01 1.125551450751267717e-03 -2.876992673593568917e+00 1.885756711623184109e-07
6.500000000000000000e+01 1.570733698183638808e+03 2.369248331028505350e-01 1.160963192941808029e-03 -3.217731678294405206e+00 1.875797419370643204e-07
6.600000000000000000e+01 1.591206658086476182e+03 2.476592836297954459e-01 1.196915517059179328e-03 -3.572124050274096074e+00 1.865772820515746526e-07
6.700000000000000000e+01 1.611809193306452471e+03 2.586519028420120603e-01 1.233409025413001112e-03 -3.936913530019944485e+00 1.855692871621003689e-07
6.800000000000000000e+01 1.632834013190126598e+03 2.699218464929183381e-01 1.270444491260605893e-03 -4.309883434385046286e+00 1.845567091420718099e-07
6.900000000000000000e+01 1.654054031804395208e+03 2.814065888100507618e-01 1.308022860326764521e-03 -4.688742814317275354e+00 1.835405211366033047e-07
7.000000000000000000e+01 1.675613442945165843e+03 2.931252863038525946e-01 1.346145248755827766e-03 -5.074616500093845239e+00 1.825216960587902347e-07
7.100000000000000000e+01 1.697360601413255381e+03 3.050515025709688022e-01 1.384812940994106659e-03 -5.469601160875032342e+00 1.815011047953523025e-07
7.200000000000000000e+01 1.719297123063069421e+03 3.171694944627787560e-01 1.424027386489094219e-03 -5.875745261641045047e+00 1.804791262455419257e-07
7.300000000000000000e+01 1.741351553577914274e+03 3.294624797869619148e-01 1.463790194907418950e-03 -6.294583984232786200e+00 1.794560171132234478e-07
7.400000000000000000e+01 1.763526693517425201e+03 3.419359538736102544e-01 1.504103130770143102e-03 -6.726167383273004674e+00 1.784320764853947222e-07
7.500000000000000000e+01 1.785899598380924317e+03 3.546176896377213339e-01 1.544968105954809892e-03 -7.169951462651125595e+00 1.774074594097321960e-07
7.600000000000000000e+01 1.808398809930403104e+03 3.675206095137999451e-01 1.586387174634494883e-03 -7.625986277005335268e+00 1.763825290815913856e-07
7.700000000000000000e+01 1.831101381272505705e+03 3.806279342711864633e-01 1.628362522020130633e-03 -8.093802089451894943e+00 1.753575864665137798e-07
7.800000000000000000e+01 1.854084364448792030e+03 3.939525880748471764e-01 1.670896457161390181e-03 -8.574265779311945224e+00 1.743328314996754020e-07
7.900000000000000000e+01 1.877202041783503546e+03 4.074258141732430283e-01 1.713991403189519961e-03 -9.063046293586371149e+00 1.733086076994136970e-07
8.000000000000000000e+01 1.900605719737990057e+03 4.210382618363518459e-01 1.757649886928963883e-03 -9.561010523429605001e+00 1.722851979261048068e-07
8.100000000000000000e+01 1.924223100231374701e+03 4.347283386585800158e-01 1.801874529252637559e-03 -1.006822073519555971e+01 1.712628551279238323e-07
8.200000000000000000e+01 1.948127056886990886e+03 4.485150817201534745e-01 1.846668033705062923e-03 -1.058374836062922775e+01 1.702419694429698195e-07
8.300000000000000000e+01 1.972241115269789134e+03 4.623727121752235769e-01 1.892033176333786761e-03 -1.110734533462815676e+01 1.692229001994228833e-07
8.400000000000000000e+01 1.996637313047519456e+03 4.762977293220617692e-01 1.937972795199657036e-03 -1.163727847965266449e+01 1.682059288031091218e-07
8.500000000000000000e+01 2.021164918864207266e+03 4.902643569147540625e-01 1.984489779060331742e-03 -1.217478488221429700e+01 1.671915336011491617e-07
8.600000000000000000e+01 2.045895969964392407e+03 5.042839482232081005e-01 2.031587057315577694e-03 -1.271887395687220490e+01 1.661799584128385145e-07
8.700000000000000000e+01 2.071051016067101500e+03 5.183233042167149085e-01 2.079267590975171238e-03 -1.326855513523909735e+01 1.651716426982972076e-07
8.800000000000000000e+01 2.096182300738523281e+03 5.323937811237081652e-01 2.127534362003758936e-03 -1.382358042999864089e+01 1.641669098359392552e-07
